ID,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,total_days_stayed,long_term_homeless
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,False
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,False
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,False
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False
131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,False
68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,False
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,False
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,False
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,False
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,False
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,False
162,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False
65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False
58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,False
