"","ID","week1","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14","week15","week16","week17","week18","week19","total_days_stayed","consec_week"
"119",140,0,0,0,0,0,0,0,0,5,1,4,5,3,3,2,4,3,2,2,34,7
"120",185,0,0,0,0,1,5,5,2,2,2,3,3,4,4,5,0,1,1,0,38,5
"121",95,0,2,6,7,7,3,4,7,2,0,0,0,0,0,0,0,0,0,0,38,10
"122",15,0,0,0,0,0,7,6,2,2,4,3,4,4,2,3,1,1,1,0,40,5
"123",111,6,2,0,3,3,4,1,7,4,3,4,1,2,1,1,0,0,0,0,42,5
"124",30,0,0,0,0,0,0,0,0,0,6,5,6,7,6,3,0,6,4,0,43,10
"125",59,0,0,0,0,0,0,0,2,0,7,4,7,5,7,3,6,2,1,0,44,8
"126",171,1,0,0,0,1,7,7,7,6,5,1,5,4,0,0,0,0,0,0,44,9
"127",168,6,5,5,6,7,7,7,1,5,3,0,0,0,0,0,0,0,0,0,52,9
"128",10,0,0,0,0,0,7,7,3,0,7,7,7,7,0,0,0,0,0,0,45,11
"129",24,0,0,0,0,0,1,5,1,3,6,2,3,2,4,6,4,3,6,0,46,5
"130",86,0,0,0,4,6,0,0,0,0,0,0,2,0,1,7,7,7,7,5,46,9
"132",40,1,0,0,2,6,7,7,7,4,5,2,5,0,1,0,0,0,0,0,47,8
"133",187,0,0,0,0,0,0,0,0,0,4,4,7,5,7,5,7,7,2,0,48,9
"134",155,0,0,0,0,1,7,7,5,7,7,2,2,2,5,1,3,0,0,0,49,6
"135",63,0,0,2,5,7,6,5,7,6,7,4,0,0,0,0,0,0,0,0,49,9
"136",130,0,0,5,7,7,0,0,4,4,4,6,1,5,7,2,0,0,0,0,52,7
"137",22,5,4,2,0,0,0,0,0,0,2,2,3,6,7,2,1,5,7,6,52,6
"138",158,0,0,0,1,1,1,2,0,6,0,4,6,4,3,6,6,6,2,0,48,5
"139",137,4,5,5,5,5,7,7,7,4,3,0,0,2,2,0,0,2,0,0,58,6
"140",44,5,3,4,3,5,5,7,7,3,4,6,7,6,0,0,0,0,0,0,65,6
"141",75,6,1,1,0,0,0,0,0,7,7,7,6,6,7,6,6,3,2,0,65,6
"142",38,0,0,0,0,4,5,7,7,0,5,5,2,6,6,7,6,6,1,0,67,5
"144",28,0,0,0,0,0,2,6,6,7,5,4,1,4,5,6,7,6,7,6,72,4
"146",2,0,0,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,7,5,76,6
"148",77,6,7,7,7,7,7,7,7,7,6,1,0,5,0,0,0,2,0,0,76,6
"150",107,0,0,7,4,7,7,7,5,7,4,6,2,0,0,0,4,5,7,6,78,4
"154",76,0,0,0,0,1,4,7,7,6,7,7,7,5,7,7,7,7,6,0,85,4
